condition,stat,constant,direction,state,p
Dark room,Mean,5,Positive,9,0.4844540453394342
Dark room,Mean,5,Positive,10,0.5180938958711084
Dark room,Mean,5,Positive,11,0.4513508565735864
Dark room,Mean,5,Negative,0,0.2368000524123421
Dark room,Mean,5,Negative,1,0.1708321024459904
Dark room,Mean,5,Negative,2,0.09830241879104203
Dark room,Mean,5,Negative,3,0.014646590092800109
Dark room,Mean,5,Negative,4,0.5570452176318987
Dark room,Mean,5,Negative,5,0.5287895550768958
Dark room,Mean,5,Negative,6,0.30759427139238826
Dark room,Mean,5,Negative,7,0.4909276237286689
Dark room,Mean,5,Negative,8,0.35828478874989395
Dark room,Mean,5,Negative,9,0.2502802569595775
Dark room,Mean,5,Negative,10,0.15516817972151534
Dark room,Mean,5,Negative,11,0.06434054449439966
Dark room,Mean,6,Positive,0,0.4938936889210275
Dark room,Mean,6,Positive,1,0.41207956123964895
Dark room,Mean,6,Positive,2,0.42800836350732185
Dark room,Mean,6,Positive,3,0.5360465973911004
Dark room,Mean,6,Positive,4,0.02237064230210591
Dark room,Mean,6,Positive,5,0.15394733996823945
Dark room,Mean,6,Positive,6,0.24331490661732222
Dark room,Mean,6,Positive,7,0.19513377490024772
Dark room,Mean,6,Positive,8,0.34739912374982734
Dark room,Mean,6,Positive,9,0.4768132379176907
Dark room,Mean,6,Positive,10,0.5161530417831116
Dark room,Mean,6,Positive,11,0.46038737379477934
Dark room,Mean,6,Negative,0,0.24683124809712542
Dark room,Mean,6,Negative,1,0.16616007791988366
Dark room,Mean,6,Negative,2,0.09642124103428013
Dark room,Mean,6,Negative,3,0.014526720100620736
Dark room,Mean,6,Negative,4,0.5601970549510031
Dark room,Mean,6,Negative,5,0.5186619504729622
Dark room,Mean,6,Negative,6,0.30797442580278145
Dark room,Mean,6,Negative,7,0.48145586392441964
Dark room,Mean,6,Negative,8,0.34249245422629176
Dark room,Mean,6,Negative,9,0.2542167862304697
Dark room,Mean,6,Negative,10,0.1556614739715992
Dark room,Mean,6,Negative,11,0.06315804621524349
Dark room,Mean,7,Positive,0,0.49452731703108166
Dark room,Mean,7,Positive,1,0.426533967901069
Dark room,Mean,7,Positive,2,0.43668710294178237
Dark room,Mean,7,Positive,3,0.5362422135736814
Dark room,Mean,7,Positive,4,0.02231020230559573
Dark room,Mean,7,Positive,5,0.14890766174593306
Dark room,Mean,7,Positive,6,0.245644819531264
Dark room,Mean,7,Positive,7,0.1884864875203174
Dark room,Mean,7,Positive,8,0.34538479354303636
Dark room,Mean,7,Positive,9,0.4872053623870307
Dark room,Mean,7,Positive,10,0.5119049341245867
Dark room,Mean,7,Positive,11,0.4530775184502965
Dark room,Mean,7,Negative,0,0.2454827455320937
Dark room,Mean,7,Negative,1,0.16195401361311101
Dark room,Mean,7,Negative,2,0.09876522012649994
Dark room,Mean,7,Negative,3,0.01432857906550372
Dark room,Mean,7,Negative,4,0.5621860726620757
Dark room,Mean,7,Negative,5,0.5182248360228554
Dark room,Mean,7,Negative,6,0.299727680803644
Dark room,Mean,7,Negative,7,0.483839420913421
Dark room,Mean,7,Negative,8,0.3485634051053888
Dark room,Mean,7,Negative,9,0.2422079591183626
Dark room,Mean,7,Negative,10,0.1531262809104589
Dark room,Mean,7,Negative,11,0.06755836729821707
Dark room,Mean,8,Positive,0,0.48007434022252343
Dark room,Mean,8,Positive,1,0.4340737188235006
Dark room,Mean,8,Positive,2,0.44915427051928347
Dark room,Mean,8,Positive,3,0.5429269427252714
Dark room,Mean,8,Positive,4,0.021210970727615415
Dark room,Mean,8,Positive,5,0.15446259517189206
Dark room,Mean,8,Positive,6,0.2534247504743495
Dark room,Mean,8,Positive,7,0.19140260717392332
Dark room,Mean,8,Positive,8,0.34356221404193626
Dark room,Mean,8,Positive,9,0.4813282208294796
Dark room,Mean,8,Positive,10,0.498944414184331
Dark room,Mean,8,Positive,11,0.456398103234216
Dark room,Mean,8,Negative,0,0.25194634109304603
Dark room,Mean,8,Negative,1,0.1480717691358347
Dark room,Mean,8,Negative,2,0.1046732133427785
Dark room,Mean,8,Negative,3,0.013970474515830479
Dark room,Mean,8,Negative,4,0.5722851740939965
Dark room,Mean,8,Negative,5,0.48918879597723375
Dark room,Mean,8,Negative,6,0.2966739846459916
Dark room,Mean,8,Negative,7,0.47369901816469945
Dark room,Mean,8,Negative,8,0.35975992670082574
Dark room,Mean,8,Negative,9,0.23408225094519566
Dark room,Mean,8,Negative,10,0.1538313051854585
Dark room,Mean,8,Negative,11,0.06617663894608757
Dark room,Mean,9,Positive,0,0.4733622986351514
Dark room,Mean,9,Positive,1,0.4207870052492728
Dark room,Mean,9,Positive,2,0.4629143487264944
Dark room,Mean,9,Positive,3,0.5458004284104409
Dark room,Mean,9,Positive,4,0.020633346300603442
Dark room,Mean,9,Positive,5,0.15865250334867692
Dark room,Mean,9,Positive,6,0.26008862751585593
Dark room,Mean,9,Positive,7,0.1863066524905765
Dark room,Mean,9,Positive,8,0.34008135024124425
Dark room,Mean,9,Positive,9,0.48269101983057994
Dark room,Mean,9,Positive,10,0.505537204945158
Dark room,Mean,9,Positive,11,0.45000485027628717
Dark room,Mean,9,Negative,0,0.2611526582254563
Dark room,Mean,9,Negative,1,0.1489860188788626
Dark room,Mean,9,Negative,2,0.10160171802292797
Dark room,Mean,9,Negative,3,0.013937689700373153
Dark room,Mean,9,Negative,4,0.5804464541792805
Dark room,Mean,9,Negative,5,0.4940183613135792
Dark room,Mean,9,Negative,6,0.2906013668303178
Dark room,Mean,9,Negative,7,0.46598373826143474
Dark room,Mean,9,Negative,8,0.35845654713043124
Dark room,Mean,9,Negative,9,0.2223785161325145
Dark room,Mean,9,Negative,10,0.14706098697198905
Dark room,Mean,9,Negative,11,0.06505786501849536
Dark room,Mean,10,Positive,0,0.46698438562204264
Dark room,Mean,10,Positive,1,0.42233286887086535
Dark room,Mean,10,Positive,2,0.4636328665360037
Dark room,Mean,10,Positive,3,0.5431105615862994
Dark room,Mean,10,Positive,4,0.020400330735923487
Dark room,Mean,10,Positive,5,0.159456444455497
Dark room,Mean,10,Positive,6,0.25973773975823433
Dark room,Mean,10,Positive,7,0.19177919392410145
Dark room,Mean,10,Positive,8,0.3309521233476107
Dark room,Mean,10,Positive,9,0.4878799303743533
Dark room,Mean,10,Positive,10,0.5003934172929639
Dark room,Mean,10,Positive,11,0.44895182675327916
Dark room,Mean,10,Negative,0,0.25859001408495325
Dark room,Mean,10,Negative,1,0.14921402056800503
Dark room,Mean,10,Negative,2,0.09514409668419109
Dark room,Mean,10,Negative,3,0.013867249559300108
Dark room,Mean,10,Negative,4,0.5900300995830731
Dark room,Mean,10,Negative,5,0.4927406802732286
Dark room,Mean,10,Negative,6,0.2913205141195262
Dark room,Mean,10,Negative,7,0.4580620605107393
Dark room,Mean,10,Negative,8,0.3504492010842585
Dark room,Mean,10,Negative,9,0.22131126804726595
Dark room,Mean,10,Negative,10,0.15088572373484083
Dark room,Mean,10,Negative,11,0.06192788973557169
Dark room,Mean,11,Positive,0,0.48424579507011256
Dark room,Mean,11,Positive,1,0.41747922048182584
Dark room,Mean,11,Positive,2,0.4556050445951314
Dark room,Mean,11,Positive,3,0.5469180579796906
Dark room,Mean,11,Positive,4,0.019964475447455037
Dark room,Mean,11,Positive,5,0.16482500137616907
Dark room,Mean,11,Positive,6,0.26370005993216705
Dark room,Mean,11,Positive,7,0.19069075576811703
Dark room,Mean,11,Positive,8,0.33073464581376405
Dark room,Mean,11,Positive,9,0.4848305299442991
Dark room,Mean,11,Positive,10,0.49505683663193595
Dark room,Mean,11,Positive,11,0.4348966562131285
Dark room,Mean,11,Negative,0,0.243768489299883
Dark room,Mean,11,Negative,1,0.1510538874862424
Dark room,Mean,11,Negative,2,0.0903817502370891
Dark room,Mean,11,Negative,3,0.014087963293162873
Dark room,Mean,11,Negative,4,0.5915702503060879
Dark room,Mean,11,Negative,5,0.4817635170998189
Dark room,Mean,11,Negative,6,0.28201459606238416
Dark room,Mean,11,Negative,7,0.4563217621068721
Dark room,Mean,11,Negative,8,0.34157480808492263
Dark room,Mean,11,Negative,9,0.21870260899878452
Dark room,Mean,11,Negative,10,0.1439142584721829
Dark room,Mean,11,Negative,11,0.06289360026776776
Dark room,Mean,12,Positive,0,0.495230586337859
Dark room,Mean,12,Positive,1,0.42294495377562585
Dark room,Mean,12,Positive,2,0.4385380003573102
Dark room,Mean,12,Positive,3,0.5444826859208287
Dark room,Mean,12,Positive,4,0.019784087557548374
Dark room,Mean,12,Positive,5,0.15351458167306847
Dark room,Mean,12,Positive,6,0.24512434327640495
Dark room,Mean,12,Positive,7,0.19492659787791664
Dark room,Mean,12,Positive,8,0.3109276264833741
Dark room,Mean,12,Positive,9,0.4796728722624082
Dark room,Mean,12,Positive,10,0.4956349661838919
Dark room,Mean,12,Positive,11,0.4287026618803707
Dark room,Mean,12,Negative,0,0.23336219430765173
Dark room,Mean,12,Negative,1,0.1466963197006267
Dark room,Mean,12,Negative,2,0.09405557879702417
Dark room,Mean,12,Negative,3,0.013932603785837354
Dark room,Mean,12,Negative,4,0.5835973292755899
Dark room,Mean,12,Negative,5,0.47676856089241365
Dark room,Mean,12,Negative,6,0.28445988622766566
Dark room,Mean,12,Negative,7,0.4463828827165036
Dark room,Mean,12,Negative,8,0.33595325277814403
Dark room,Mean,12,Negative,9,0.20941481341321844
Dark room,Mean,12,Negative,10,0.14245904400655368
Dark room,Mean,12,Negative,11,0.06241330746208977
Dark room,Mean,13,Positive,0,0.5161891116893677
Dark room,Mean,13,Positive,1,0.4272505855329867
Dark room,Mean,13,Positive,2,0.4296553027340479
Dark room,Mean,13,Positive,3,0.5494965297180423
Dark room,Mean,13,Positive,4,0.019144935332011333
Dark room,Mean,13,Positive,5,0.1597777489650637
Dark room,Mean,13,Positive,6,0.24444066996941505
Dark room,Mean,13,Positive,7,0.17656415214647522
Dark room,Mean,13,Positive,8,0.3097043025931786
Dark room,Mean,13,Positive,9,0.4588667592996672
Dark room,Mean,13,Positive,10,0.48391953069871013
Dark room,Mean,13,Positive,11,0.4432606402755206
Dark room,Mean,13,Negative,0,0.22445740498256972
Dark room,Mean,13,Negative,1,0.15230502896374978
Dark room,Mean,13,Negative,2,0.09238713826499988
Dark room,Mean,13,Negative,3,0.014188314604895426
Dark room,Mean,13,Negative,4,0.573554961597158
Dark room,Mean,13,Negative,5,0.46964843291111025
Dark room,Mean,13,Negative,6,0.294217150103753
Dark room,Mean,13,Negative,7,0.4425675003034966
Dark room,Mean,13,Negative,8,0.3295018416865142
Dark room,Mean,13,Negative,9,0.2260298624249566
Dark room,Mean,13,Negative,10,0.13965298133176796
Dark room,Mean,13,Negative,11,0.06228433775004708
Dark room,Mean,14,Positive,0,0.4971029531823447
Dark room,Mean,14,Positive,1,0.4203538299235676
Dark room,Mean,14,Positive,2,0.4234969518404544
Dark room,Mean,14,Positive,3,0.553953328001751
Dark room,Mean,14,Positive,4,0.018470491233584473
Dark room,Mean,14,Positive,5,0.1568522271308606
Dark room,Mean,14,Positive,6,0.2544793447895897
Dark room,Mean,14,Positive,7,0.16883405302647977
Dark room,Mean,14,Positive,8,0.31804518748869953
Dark room,Mean,14,Positive,9,0.4538384453617691
Dark room,Mean,14,Positive,10,0.4815788923730509
Dark room,Mean,14,Positive,11,0.4391631420452621
Dark room,Mean,14,Negative,0,0.23181010222901713
Dark room,Mean,14,Negative,1,0.15473565372428358
Dark room,Mean,14,Negative,2,0.09064498834889081
Dark room,Mean,14,Negative,3,0.014105843800694854
Dark room,Mean,14,Negative,4,0.5755732057146421
Dark room,Mean,14,Negative,5,0.464358937665283
Dark room,Mean,14,Negative,6,0.27013024431804866
Dark room,Mean,14,Negative,7,0.44507858632625413
Dark room,Mean,14,Negative,8,0.3040539016646822
Dark room,Mean,14,Negative,9,0.22690830846898732
Dark room,Mean,14,Negative,10,0.13798707923086323
Dark room,Mean,14,Negative,11,0.0674729559460776
Dark room,Mean,15,Positive,0,0.4918695393062369
Dark room,Mean,15,Positive,1,0.4325979445563136
Dark room,Mean,15,Positive,2,0.4187808907507807
Dark room,Mean,15,Positive,3,0.5521877704127948
Dark room,Mean,15,Positive,4,0.01722929669349019
Dark room,Mean,15,Positive,5,0.14969899285631716
Dark room,Mean,15,Positive,6,0.24599785695869927
Dark room,Mean,15,Positive,7,0.16206297610531234
Dark room,Mean,15,Positive,8,0.33556572948058344
Dark room,Mean,15,Positive,9,0.4549169005735506
Dark room,Mean,15,Positive,10,0.46977436066590755
Dark room,Mean,15,Positive,11,0.42436803792748967
Dark room,Mean,15,Negative,0,0.23668582988662554
Dark room,Mean,15,Negative,1,0.1450295343304492
Dark room,Mean,15,Negative,2,0.09063359927350079
Dark room,Mean,15,Negative,3,0.013962014241035277
Dark room,Mean,15,Negative,4,0.5916836558597263
Dark room,Mean,15,Negative,5,0.4632703226624943
Dark room,Mean,15,Negative,6,0.2523699942952405
Dark room,Mean,15,Negative,7,0.4208410433085545
Dark room,Mean,15,Negative,8,0.27975235295738543
Dark room,Mean,15,Negative,9,0.22672415071307392
Dark room,Mean,15,Negative,10,0.14330731932363322
Dark room,Mean,15,Negative,11,0.06384460419230657
Dark room,Median,-5,Positive,0,0.4993001007828534
Dark room,Median,-5,Positive,1,0.37918573496916597
Dark room,Median,-5,Positive,2,0.5063618045546909
Dark room,Median,-5,Positive,3,0.6095543819071387
Dark room,Median,-5,Positive,4,0.04142007412418379
Dark room,Median,-5,Positive,5,0.21280127064768928
Dark room,Median,-5,Positive,6,0.34556219863680426
Dark room,Median,-5,Positive,7,0.21626673027939347
Dark room,Median,-5,Positive,8,0.3603855605707736
Dark room,Median,-5,Positive,9,0.4930884889442726
Dark room,Median,-5,Positive,10,0.578542010908507
Dark room,Median,-5,Positive,11,0.5212860333733478
Dark room,Median,-5,Negative,0,0.32405992476458406
Dark room,Median,-5,Negative,1,0.25908652417270206
Dark room,Median,-5,Negative,2,0.13936481264815043
Dark room,Median,-5,Negative,3,0.01820117705292098
Dark room,Median,-5,Negative,4,0.5298107668657381
