condition,stat,constant,direction,state,p
Dark room,Mean,4,Positive,11,0.501332970282022
Dark room,Mean,4,Negative,0,0.41260687828952625
Dark room,Mean,4,Negative,1,0.21730273936290626
Dark room,Mean,4,Negative,2,0.3563729511262734
Dark room,Mean,4,Negative,3,0.028701697809323107
Dark room,Mean,4,Negative,4,0.6852143008836629
Dark room,Mean,4,Negative,5,0.5267820528552183
Dark room,Mean,4,Negative,6,0.4948163136847231
Dark room,Mean,4,Negative,7,0.4889153171144655
Dark room,Mean,4,Negative,8,0.479199099169185
Dark room,Mean,4,Negative,9,0.43071381593029756
Dark room,Mean,4,Negative,10,0.46102146416283424
Dark room,Mean,4,Negative,11,0.32639294239047256
Dark room,Mean,5,Positive,0,0.5247262284314731
Dark room,Mean,5,Positive,1,0.47461612983985885
Dark room,Mean,5,Positive,2,0.49795841131592766
Dark room,Mean,5,Positive,3,0.5261569320674735
Dark room,Mean,5,Positive,4,0.13450871376177082
Dark room,Mean,5,Positive,5,0.39575449472045243
Dark room,Mean,5,Positive,6,0.4357933035035257
Dark room,Mean,5,Positive,7,0.4470060919408848
Dark room,Mean,5,Positive,8,0.4608426004823495
Dark room,Mean,5,Positive,9,0.5207587243082846
Dark room,Mean,5,Positive,10,0.507799439978626
Dark room,Mean,5,Positive,11,0.48608114273619496
Dark room,Mean,5,Negative,0,0.40349460463445785
Dark room,Mean,5,Negative,1,0.21028838834569766
Dark room,Mean,5,Negative,2,0.339779773283828
Dark room,Mean,5,Negative,3,0.026627914282781974
Dark room,Mean,5,Negative,4,0.6830441206576302
Dark room,Mean,5,Negative,5,0.5232756084909966
Dark room,Mean,5,Negative,6,0.49560992068784127
Dark room,Mean,5,Negative,7,0.48890525999827333
Dark room,Mean,5,Negative,8,0.483747623695171
Dark room,Mean,5,Negative,9,0.4335345436856204
Dark room,Mean,5,Negative,10,0.4505827462415472
Dark room,Mean,5,Negative,11,0.3116289095784091
Dark room,Mean,6,Positive,0,0.5297996595727331
Dark room,Mean,6,Positive,1,0.46761485173411454
Dark room,Mean,6,Positive,2,0.49562414658343373
Dark room,Mean,6,Positive,3,0.5113803657367542
Dark room,Mean,6,Positive,4,0.11946689190535943
Dark room,Mean,6,Positive,5,0.38040330290516666
Dark room,Mean,6,Positive,6,0.43627789610112555
Dark room,Mean,6,Positive,7,0.44222382246440955
Dark room,Mean,6,Positive,8,0.45742305977621994
Dark room,Mean,6,Positive,9,0.507182864569049
Dark room,Mean,6,Positive,10,0.49580579709446493
Dark room,Mean,6,Positive,11,0.4799462476428865
Dark room,Mean,6,Negative,0,0.3966101595755108
Dark room,Mean,6,Negative,1,0.1904969246205373
Dark room,Mean,6,Negative,2,0.32869817793489314
Dark room,Mean,6,Negative,3,0.0246286642617676
Dark room,Mean,6,Negative,4,0.687251138293911
Dark room,Mean,6,Negative,5,0.5218641149825127
Dark room,Mean,6,Negative,6,0.48917687978609
Dark room,Mean,6,Negative,7,0.49031352674878714
Dark room,Mean,6,Negative,8,0.4783689945347654
Dark room,Mean,6,Negative,9,0.43463371097722037
Dark room,Mean,6,Negative,10,0.45500151590722454
Dark room,Mean,6,Negative,11,0.2966492657529504
Dark room,Mean,7,Positive,0,0.5296492702869126
Dark room,Mean,7,Positive,1,0.45386507343555
Dark room,Mean,7,Positive,2,0.492268566580854
Dark room,Mean,7,Positive,3,0.5168504594284782
Dark room,Mean,7,Positive,4,0.10466031573372413
Dark room,Mean,7,Positive,5,0.3783108409522268
Dark room,Mean,7,Positive,6,0.4425473480166775
Dark room,Mean,7,Positive,7,0.4266213629555361
Dark room,Mean,7,Positive,8,0.45479831580230273
Dark room,Mean,7,Positive,9,0.500605580020368
Dark room,Mean,7,Positive,10,0.49729796372726254
Dark room,Mean,7,Positive,11,0.4703839559787962
Dark room,Mean,7,Negative,0,0.3923603899173635
Dark room,Mean,7,Negative,1,0.1812234575305842
Dark room,Mean,7,Negative,2,0.3234359794382721
Dark room,Mean,7,Negative,3,0.020813204653275665
Dark room,Mean,7,Negative,4,0.6827686007702991
Dark room,Mean,7,Negative,5,0.5248082264303682
Dark room,Mean,7,Negative,6,0.4701061481137845
Dark room,Mean,7,Negative,7,0.49301227256401103
Dark room,Mean,7,Negative,8,0.4662001234492818
Dark room,Mean,7,Negative,9,0.43278772213911754
Dark room,Mean,7,Negative,10,0.4451990425721999
Dark room,Mean,7,Negative,11,0.2928356187978947
Dark room,Mean,8,Positive,0,0.5321814413735998
Dark room,Mean,8,Positive,1,0.4403917855845272
Dark room,Mean,8,Positive,2,0.4863246338864074
Dark room,Mean,8,Positive,3,0.5039362943151042
Dark room,Mean,8,Positive,4,0.08787703618910771
Dark room,Mean,8,Positive,5,0.36320640668980303
Dark room,Mean,8,Positive,6,0.4463419198416674
Dark room,Mean,8,Positive,7,0.4319304382950472
Dark room,Mean,8,Positive,8,0.45605875023284786
Dark room,Mean,8,Positive,9,0.4833334061295692
Dark room,Mean,8,Positive,10,0.49394543821536585
Dark room,Mean,8,Positive,11,0.47097416965812033
Dark room,Mean,8,Negative,0,0.3792402177580202
Dark room,Mean,8,Negative,1,0.18596444954249222
Dark room,Mean,8,Negative,2,0.3167591794500779
Dark room,Mean,8,Negative,3,0.01965114526901497
Dark room,Mean,8,Negative,4,0.6870122397183712
Dark room,Mean,8,Negative,5,0.5239703351325165
Dark room,Mean,8,Negative,6,0.45734551109008537
Dark room,Mean,8,Negative,7,0.47626161326733124
Dark room,Mean,8,Negative,8,0.4507297929159508
Dark room,Mean,8,Negative,9,0.4348447755583842
Dark room,Mean,8,Negative,10,0.43910150604842135
Dark room,Mean,8,Negative,11,0.2750453222804137
Dark room,Mean,9,Positive,0,0.5261229289494929
Dark room,Mean,9,Positive,1,0.4283797670895341
Dark room,Mean,9,Positive,2,0.46583446880528256
Dark room,Mean,9,Positive,3,0.494746610719655
Dark room,Mean,9,Positive,4,0.07896717258244582
Dark room,Mean,9,Positive,5,0.35285463661389305
Dark room,Mean,9,Positive,6,0.4462996536668839
Dark room,Mean,9,Positive,7,0.426766779330606
Dark room,Mean,9,Positive,8,0.4433015140703242
Dark room,Mean,9,Positive,9,0.47501589232102265
Dark room,Mean,9,Positive,10,0.4940463035475364
Dark room,Mean,9,Positive,11,0.46209418705505867
Dark room,Mean,9,Negative,0,0.3782602538247775
Dark room,Mean,9,Negative,1,0.18386758179690074
Dark room,Mean,9,Negative,2,0.3106304613429869
Dark room,Mean,9,Negative,3,0.01774225569295812
Dark room,Mean,9,Negative,4,0.681303757533672
Dark room,Mean,9,Negative,5,0.517576261626051
Dark room,Mean,9,Negative,6,0.4480366377864577
Dark room,Mean,9,Negative,7,0.47306771630814204
Dark room,Mean,9,Negative,8,0.4450912140035688
Dark room,Mean,9,Negative,9,0.4280957985443041
Dark room,Mean,9,Negative,10,0.43469651536465603
Dark room,Mean,9,Negative,11,0.2566462983834613
Dark room,Mean,10,Positive,0,0.5340621330277526
Dark room,Mean,10,Positive,1,0.40933960283539184
Dark room,Mean,10,Positive,2,0.45639590448340744
Dark room,Mean,10,Positive,3,0.48216649491218017
Dark room,Mean,10,Positive,4,0.0671195538611765
Dark room,Mean,10,Positive,5,0.35178722564497034
Dark room,Mean,10,Positive,6,0.4401882415704526
Dark room,Mean,10,Positive,7,0.4235616548077309
Dark room,Mean,10,Positive,8,0.4435474549506805
Dark room,Mean,10,Positive,9,0.46414084459722865
Dark room,Mean,10,Positive,10,0.4873037884709211
Dark room,Mean,10,Positive,11,0.4478523370699698
Dark room,Mean,10,Negative,0,0.3686119920135986
Dark room,Mean,10,Negative,1,0.1823660068705693
Dark room,Mean,10,Negative,2,0.2998396826915237
Dark room,Mean,10,Negative,3,0.016709029057640382
Dark room,Mean,10,Negative,4,0.6915168031655743
Dark room,Mean,10,Negative,5,0.5108092381951014
Dark room,Mean,10,Negative,6,0.44203358588587044
Dark room,Mean,10,Negative,7,0.4559834677897452
Dark room,Mean,10,Negative,8,0.448376281711448
Dark room,Mean,10,Negative,9,0.42192870989543424
Dark room,Mean,10,Negative,10,0.428567501776964
Dark room,Mean,10,Negative,11,0.24008542209275432
Dark room,Mean,11,Positive,0,0.5289885813403583
Dark room,Mean,11,Positive,1,0.4031226495381298
Dark room,Mean,11,Positive,2,0.4456096336595312
Dark room,Mean,11,Positive,3,0.48627881629766406
Dark room,Mean,11,Positive,4,0.054042108149092764
Dark room,Mean,11,Positive,5,0.3491591143981865
Dark room,Mean,11,Positive,6,0.4274986309868298
Dark room,Mean,11,Positive,7,0.41900279801080065
Dark room,Mean,11,Positive,8,0.44688378311910315
Dark room,Mean,11,Positive,9,0.45535858478529123
Dark room,Mean,11,Positive,10,0.4809532392222996
Dark room,Mean,11,Positive,11,0.4356754800513463
Dark room,Mean,11,Negative,0,0.3531142189239356
Dark room,Mean,11,Negative,1,0.17951772935126914
Dark room,Mean,11,Negative,2,0.2915499173475034
Dark room,Mean,11,Negative,3,0.01518427287379813
Dark room,Mean,11,Negative,4,0.6840629858285888
Dark room,Mean,11,Negative,5,0.49466299488405835
Dark room,Mean,11,Negative,6,0.4365935206868463
Dark room,Mean,11,Negative,7,0.4559227545952665
Dark room,Mean,11,Negative,8,0.4486856858572057
Dark room,Mean,11,Negative,9,0.4190920528044841
Dark room,Mean,11,Negative,10,0.43178302887481695
Dark room,Mean,11,Negative,11,0.21962402363445466
Dark room,Mean,12,Positive,0,0.525033905877227
Dark room,Mean,12,Positive,1,0.38303166295103436
Dark room,Mean,12,Positive,2,0.45123571238919996
Dark room,Mean,12,Positive,3,0.48152484852318295
Dark room,Mean,12,Positive,4,0.04565931090155675
Dark room,Mean,12,Positive,5,0.33980228291210207
Dark room,Mean,12,Positive,6,0.40194446372574894
Dark room,Mean,12,Positive,7,0.4181815819191919
Dark room,Mean,12,Positive,8,0.4616568613551015
Dark room,Mean,12,Positive,9,0.4489979651478219
Dark room,Mean,12,Positive,10,0.484233213831349
Dark room,Mean,12,Positive,11,0.41684414485540944
Dark room,Mean,12,Negative,0,0.3401649045332631
Dark room,Mean,12,Negative,1,0.18032546811579342
Dark room,Mean,12,Negative,2,0.28449990563367084
Dark room,Mean,12,Negative,3,0.014477104628222208
Dark room,Mean,12,Negative,4,0.6877765539524358
Dark room,Mean,12,Negative,5,0.49049442685456024
Dark room,Mean,12,Negative,6,0.43527496073801664
Dark room,Mean,12,Negative,7,0.4510652320559128
Dark room,Mean,12,Negative,8,0.42023647052347823
Dark room,Mean,12,Negative,9,0.4152711427159555
Dark room,Mean,12,Negative,10,0.41778845884211513
Dark room,Mean,12,Negative,11,0.2035119041630546
Dark room,Mean,13,Positive,0,0.5385894059761921
Dark room,Mean,13,Positive,1,0.3644086340007961
Dark room,Mean,13,Positive,2,0.46365884150794606
Dark room,Mean,13,Positive,3,0.47761197626790175
Dark room,Mean,13,Positive,4,0.03967182885765633
Dark room,Mean,13,Positive,5,0.33642243867824
Dark room,Mean,13,Positive,6,0.3927704126794334
Dark room,Mean,13,Positive,7,0.4044345380604513
Dark room,Mean,13,Positive,8,0.4396343004576658
Dark room,Mean,13,Positive,9,0.4439537625198528
Dark room,Mean,13,Positive,10,0.48543492221241646
Dark room,Mean,13,Positive,11,0.3862538824607566
Dark room,Mean,13,Negative,0,0.3257617007815187
Dark room,Mean,13,Negative,1,0.17125917825250342
Dark room,Mean,13,Negative,2,0.26463495109107527
Dark room,Mean,13,Negative,3,0.013732224526546514
Dark room,Mean,13,Negative,4,0.6693871028062228
Dark room,Mean,13,Negative,5,0.4699515029630979
Dark room,Mean,13,Negative,6,0.43401679556061484
Dark room,Mean,13,Negative,7,0.44378602179491417
Dark room,Mean,13,Negative,8,0.433257770031627
Dark room,Mean,13,Negative,9,0.4001266106050627
Dark room,Mean,13,Negative,10,0.4113405505117674
Dark room,Mean,13,Negative,11,0.20133787217902271
Dark room,Mean,14,Positive,0,0.5464026415983836
Dark room,Mean,14,Positive,1,0.35605255232368355
Dark room,Mean,14,Positive,2,0.4605890416483078
Dark room,Mean,14,Positive,3,0.48335484461842465
Dark room,Mean,14,Positive,4,0.03558035580338176
Dark room,Mean,14,Positive,5,0.3243590033466383
Dark room,Mean,14,Positive,6,0.3947778377101857
Dark room,Mean,14,Positive,7,0.39453380676528316
Dark room,Mean,14,Positive,8,0.4346111614006993
Dark room,Mean,14,Positive,9,0.440987718338694
Dark room,Mean,14,Positive,10,0.4885017454425886
Dark room,Mean,14,Positive,11,0.3728706946336524
Dark room,Mean,14,Negative,0,0.311345276209804
Dark room,Mean,14,Negative,1,0.1718967901409257
Dark room,Mean,14,Negative,2,0.25441314864659575
Dark room,Mean,14,Negative,3,0.01253727960655853
Dark room,Mean,14,Negative,4,0.6741089623390629
Dark room,Mean,14,Negative,5,0.47241288663062214
Dark room,Mean,14,Negative,6,0.41651411828793405
Dark room,Mean,14,Negative,7,0.4393909564629021
Dark room,Mean,14,Negative,8,0.41981826067267625
Dark room,Mean,14,Negative,9,0.3891696444771412
Dark room,Mean,14,Negative,10,0.39766023156879543
Dark room,Mean,14,Negative,11,0.18616426584719994
Dark room,Mean,15,Positive,0,0.5584886349342089
Dark room,Mean,15,Positive,1,0.3375794852423236
Dark room,Mean,15,Positive,2,0.4576448436562031
Dark room,Mean,15,Positive,3,0.4786257907883706
Dark room,Mean,15,Positive,4,0.03015758201237983
Dark room,Mean,15,Positive,5,0.3150892393416444
Dark room,Mean,15,Positive,6,0.37891215454533156
Dark room,Mean,15,Positive,7,0.40057964001397584
Dark room,Mean,15,Positive,8,0.41731173283294704
Dark room,Mean,15,Positive,9,0.4376642698519994
Dark room,Mean,15,Positive,10,0.48535537278521823
Dark room,Mean,15,Positive,11,0.36822907707675145
Dark room,Mean,15,Negative,0,0.29481917391290186
Dark room,Mean,15,Negative,1,0.1684712367343328
Dark room,Mean,15,Negative,2,0.24965226777307906
Dark room,Mean,15,Negative,3,0.012397121976973912
Dark room,Mean,15,Negative,4,0.6768443626219477
Dark room,Mean,15,Negative,5,0.46567237214066437
Dark room,Mean,15,Negative,6,0.42065148308793165
Dark room,Mean,15,Negative,7,0.4204980942685601
Dark room,Mean,15,Negative,8,0.4137936473490036
Dark room,Mean,15,Negative,9,0.37591382112298705
Dark room,Mean,15,Negative,10,0.39251471202745086
Dark room,Mean,15,Negative,11,0.17252643849822263
Dark room,Median,-5,Positive,0,0.525524960069277
Dark room,Median,-5,Positive,1,0.513822321087715
Dark room,Median,-5,Positive,2,0.49909805188941453
Dark room,Median,-5,Positive,3,0.5383849214720681
Dark room,Median,-5,Positive,4,0.4280153278723895
Dark room,Median,-5,Positive,5,0.49550602462366605
Dark room,Median,-5,Positive,6,0.5035149650562418
Dark room,Median,-5,Positive,7,0.475369143410064
Dark room,Median,-5,Positive,8,0.4976024183770032
Dark room,Median,-5,Positive,9,0.5020718176275737
Dark room,Median,-5,Positive,10,0.47864266912203746
Dark room,Median,-5,Positive,11,0.5362682661081782
Dark room,Median,-5,Negative,0,0.4480193965578219
Dark room,Median,-5,Negative,1,0.41199577628757644
Dark room,Median,-5,Negative,2,0.4485073940939355
Dark room,Median,-5,Negative,3,0.3165246581699168
Dark room,Median,-5,Negative,4,0.5446985550231014
Dark room,Median,-5,Negative,5,0.48693271347714134
Dark room,Median,-5,Negative,6,0.4851275436119855
Dark room,Median,-5,Negative,7,0.5136262865898784
Dark room,Median,-5,Negative,8,0.48702319224950325
Dark room,Median,-5,Negative,9,0.48180006540754683
Dark room,Median,-5,Negative,10,0.501316099038666
Dark room,Median,-5,Negative,11,0.44532309586997415
Dark room,Median,-4,Positive,0,0.5361331026478996
Dark room,Median,-4,Positive,1,0.49379304939066887
Dark room,Median,-4,Positive,2,0.4876580244196288
Dark room,Median,-4,Positive,3,0.5293459906234511
Dark room,Median,-4,Positive,4,0.368195913565147
